date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:12	20771/20771	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2017:41:12%20GMT	https://cryptotemplate.webflow.io/401	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/401.html	(from http://cryptotemplate.webflow.io/)
09:41:13	35670/35670	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2017:41:13%20GMT	http://cryptotemplate.webflow.io/licenses	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/licenses.html	(from http://cryptotemplate.webflow.io/)
09:41:14	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:14%20GMT	http://cryptotemplate.webflow.io/changelog	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/changelog	(from http://cryptotemplate.webflow.io/)
09:41:15	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:15%20GMT	http://cryptotemplate.webflow.io/checkout	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/checkout	(from http://cryptotemplate.webflow.io/)
09:41:16	52121/52121	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2017:41:16%20GMT	http://cryptotemplate.webflow.io/blog/how-to-trade-crypto-tokens-from-your-phone	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/how-to-trade-crypto-tokens-from-your-phone.html	(from http://cryptotemplate.webflow.io/)
09:41:17	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:17%20GMT	http://cryptotemplate.webflow.io/blog/5-great-crypto-apps-you-should-not-be-missing-out	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/5-great-crypto-apps-you-should-not-be-missing-out	(from http://cryptotemplate.webflow.io/)
09:41:18	42234/42234	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2017:41:18%20GMT	http://cryptotemplate.webflow.io/team/john-carter	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/team/john-carter.html	(from http://cryptotemplate.webflow.io/about)
09:41:19	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:19%20GMT	http://cryptotemplate.webflow.io/team/sophie-moore	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/team/sophie-moore	(from http://cryptotemplate.webflow.io/about)
09:41:20	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:20%20GMT	http://cryptotemplate.webflow.io/team/alex-turner	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/team/alex-turner	(from http://cryptotemplate.webflow.io/about)
09:41:21	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:21%20GMT	http://cryptotemplate.webflow.io/pricing	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/pricing.html	(from http://cryptotemplate.webflow.io/)
09:41:21	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:21%20GMT	http://cryptotemplate.webflow.io/tokens	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/tokens.html	(from http://cryptotemplate.webflow.io/)
09:41:21	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:21%20GMT	http://cryptotemplate.webflow.io/blog	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog.html	(from http://cryptotemplate.webflow.io/)
09:41:22	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:21%20GMT	https://cryptotemplate.webflow.io/robots.txt		(from http://cryptotemplate.webflow.io/)
09:41:22	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:22%20GMT	http://cryptotemplate.webflow.io/changelog	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/changelog.html	(from http://cryptotemplate.webflow.io/)
09:41:22	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:22%20GMT	http://cryptotemplate.webflow.io/checkout	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/checkout.html	(from http://cryptotemplate.webflow.io/)
09:41:23	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:23%20GMT	http://cryptotemplate.webflow.io/blog/best-platform-to-trade-btc-on-your-phone	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/best-platform-to-trade-btc-on-your-phone	(from http://cryptotemplate.webflow.io/blog/how-to-trade-crypto-tokens-from-your-phone)
09:41:24	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:24%20GMT	http://cryptotemplate.webflow.io/blog/5-great-crypto-apps-you-should-not-be-missing-out	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/5-great-crypto-apps-you-should-not-be-missing-out.html	(from http://cryptotemplate.webflow.io/)
09:41:24	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:24%20GMT	http://cryptotemplate.webflow.io/blog/best-4k-monitors-for-efficient-crypto-trading	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/best-4k-monitors-for-efficient-crypto-trading	(from http://cryptotemplate.webflow.io/team/john-carter)
09:41:25	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:25%20GMT	http://cryptotemplate.webflow.io/team/alex-turner	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/team/alex-turner.html	(from http://cryptotemplate.webflow.io/about)
09:41:25	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:25%20GMT	http://cryptotemplate.webflow.io/team/sophie-moore	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/team/sophie-moore.html	(from http://cryptotemplate.webflow.io/about)
09:41:26	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:26%20GMT	http://cryptotemplate.webflow.io/pricing	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/pricing.html	(from http://cryptotemplate.webflow.io/)
09:41:26	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:26%20GMT	http://cryptotemplate.webflow.io/tokens	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/tokens.html	(from http://cryptotemplate.webflow.io/)
09:41:27	0/-1	---M--	504	error ('')			https://cryptotemplate.webflow.io/product/expert	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/product/expert.html	(from http://cryptotemplate.webflow.io/)
09:41:27	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:27%20GMT	http://cryptotemplate.webflow.io/blog	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog.html	(from http://cryptotemplate.webflow.io/)
09:41:28	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:22%20GMT	https://cryptotemplate.webflow.io/blog/what-is-the-best-and-most-secure-crypto-wallet-of-2020	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/what-is-the-best-and-most-secure-crypto-wallet-of-2020.html	(from http://cryptotemplate.webflow.io/)
09:41:28	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:23%20GMT	https://cryptotemplate.webflow.io/404	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/404.html	(from http://cryptotemplate.webflow.io/)
09:41:29	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:29%20GMT	http://cryptotemplate.webflow.io/checkout	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/checkout.html	(from http://cryptotemplate.webflow.io/)
09:41:29	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:29%20GMT	http://cryptotemplate.webflow.io/changelog	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/changelog.html	(from http://cryptotemplate.webflow.io/)
09:41:30	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:30%20GMT	http://cryptotemplate.webflow.io/blog/5-great-crypto-apps-you-should-not-be-missing-out	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/5-great-crypto-apps-you-should-not-be-missing-out.html	(from http://cryptotemplate.webflow.io/)
09:41:30	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:30%20GMT	http://cryptotemplate.webflow.io/blog/best-platform-to-trade-btc-on-your-phone	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/best-platform-to-trade-btc-on-your-phone.html	(from http://cryptotemplate.webflow.io/blog/how-to-trade-crypto-tokens-from-your-phone)
09:41:31	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:31%20GMT	http://cryptotemplate.webflow.io/blog/best-4k-monitors-for-efficient-crypto-trading	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/best-4k-monitors-for-efficient-crypto-trading.html	(from http://cryptotemplate.webflow.io/team/john-carter)
09:41:31	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:31%20GMT	http://cryptotemplate.webflow.io/team/sophie-moore	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/team/sophie-moore.html	(from http://cryptotemplate.webflow.io/about)
09:41:32	0/-1	---M--	504	error ('')			https://cryptotemplate.webflow.io/product/expert	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/product/expert.html	(from http://cryptotemplate.webflow.io/)
09:41:32	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:32%20GMT	http://cryptotemplate.webflow.io/team/alex-turner	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/team/alex-turner.html	(from http://cryptotemplate.webflow.io/about)
09:41:33	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:28%20GMT	https://cryptotemplate.webflow.io/blog/what-is-the-best-and-most-secure-crypto-wallet-of-2020	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/what-is-the-best-and-most-secure-crypto-wallet-of-2020.html	(from http://cryptotemplate.webflow.io/)
09:41:33	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:29%20GMT	https://cryptotemplate.webflow.io/404	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/404.html	(from http://cryptotemplate.webflow.io/)
09:41:33	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:33%20GMT	http://cryptotemplate.webflow.io/blog/best-platform-to-trade-btc-on-your-phone	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/best-platform-to-trade-btc-on-your-phone.html	(from http://cryptotemplate.webflow.io/blog/how-to-trade-crypto-tokens-from-your-phone)
09:41:33	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2019%20Dec%202020%2017:41:33%20GMT	http://cryptotemplate.webflow.io/blog/best-4k-monitors-for-efficient-crypto-trading	/Users/sashvdave/websites/nexgen/cryptotemplate.webflow.io/blog/best-4k-monitors-for-efficient-crypto-trading.html	(from http://cryptotemplate.webflow.io/team/john-carter)
